PITCHERS,Team,G,GS,IP,W,L,SV,H,BB,K,ER,ERA,WHIP
"Aardsma,  David",SEA,53,0,49.7,0,6,31,33,25,49,19,3.443,1.168
"Abad,  Fernando",HOU,22,0,19.0,0,1,0,14,5,12,6,2.842,1.000
"Accardo,  Jeremy",TOR,5,0,6.7,0,1,0,12,3,3,6,8.100,2.250
"Aceves ,  Alfredo",NYY,10,0,12.0,3,0,1,10,4,2,4,3.000,1.167
"Acosta,  Manny",NYM,41,0,39.7,3,2,1,30,18,42,13,2.950,1.210
"Adams,  Mike",SD,70,0,66.7,4,1,0,48,23,73,13,1.755,1.065
"Affeldt,  Jeremy",SF,53,0,50.0,4,3,4,56,24,44,23,4.140,1.600
"Albaladejo,  Jonathan",NYY,10,0,11.3,0,0,0,9,8,8,5,3.971,1.500
"Albers,  Matt",BAL,62,0,75.7,5,3,0,78,34,49,38,4.520,1.480
"Ambriz,  Hector",CLE,34,0,48.3,0,2,0,68,17,37,30,5.586,1.759
"Anderson,  Brett",OAK,19,19,112.3,7,6,0,112,22,75,35,2.804,1.193
"Arrieta,  Jake",BAL,18,18,100.3,6,6,0,106,48,52,52,4.664,1.535
"Arroyo,  Bronson",CIN,33,33,215.7,17,10,0,188,59,121,93,3.881,1.145
"Atchison,  Scott",BOS,44,1,62.0,2,3,0,60,19,43,31,4.500,1.274
"Atilano,  Luis",WSH,16,16,85.7,6,7,0,96,32,40,49,5.148,1.494
"Atkins,  Mitch",CHC,5,0,10.0,0,0,0,12,6,10,7,6.300,1.800
"Axford,  John",MIL,50,0,58.0,8,2,24,42,27,76,16,2.483,1.190
"Badenhop,  Burke",FLA,53,0,67.7,2,5,1,62,21,47,30,3.990,1.227
"Baez,  Danys",PHI,51,0,47.7,3,4,0,55,23,28,29,5.476,1.636
"Bailey,  Andrew",OAK,47,0,49.0,1,3,25,34,13,42,8,1.469,0.959
"Bailey,  Homer",CIN,19,19,109.0,4,3,0,109,40,100,54,4.459,1.367
"Baker,  Scott",MIN,29,29,170.3,12,9,0,186,43,148,85,4.491,1.344
"Balester,  Collin",WSH,17,0,21.0,0,1,0,15,11,28,6,2.571,1.238
"Balfour,  Grant",TB,57,0,55.3,2,1,0,43,17,56,14,2.277,1.084
"Banks,  Joshua",HOU,1,1,4.0,0,1,0,8,4,1,6,13.500,3.000
"Bannister,  Brian",KC,24,23,127.7,7,12,0,158,50,77,90,6.345,1.629
